"Points","pépites"
"Show WikiHints links on Sweet Tooth admin pages","Afficher les liens Wikihints sur les pages admin de Sweet Tooth"
"WARNING: THIS WILL ALSO DELETE ALL YOUR SWEET TOOTH RULES! - Select a .stcampaign file and click 'Save Config' to import.","ATTENTION : CECI SUPPRIMERA DEFINITIVEMENT TOUTES LES REGLES SWEET TOOTH § - Sélectionnez un fichier .stcampaign et cliquer 'Enregistrer la config' à importer."
"Show invite customer form","Afficher le formulaire d'invitation au client"
"Import Points","Importer des Pépites"
"Registration Information","Information de la licence Sweet Tooth"
"If you didn't install this module using CEM, this section is required.","Si vous n'avez pas installé ce module en utilisant le CEM, cette section est obligatoire."
"License Key","Clé d'enregistrement"
"Enter -1 to disable","Entrez -1 pour désactiver"
"Select a .csv file and click 'Save Config' to import. See guide on importing points from a CSV file here","Sélectionnez un fichier .csv et cliquez sur Enregistrer la config à importer."
"When a customer refers another customer, the person who referred the new customer will receive this e-mail.","Quand un client parraine un autre client, le parrain recevra cet email."
"Negative Point Balances Allowed","Permission de solde de pépites négatif"
"Disable Earnings When Points Used In Catalog","Désactiver les cadeaux quand les pépites sont utilisées dans le catalogue"
"Disable Earnings When Points Used In Cart","Désactiver les gains quand les pépites sont utilisées dans le panier"
"Spend your points","Utilisez vos pépites"
"You can't spend any more points in this cart.","Vous ne pouvez pas utiliser plus de pépites dans ce panier."
"My Referrals","Parrainage"
"Referral Program","Programme de parrainage"
"Referral History","Historique de vos parrainages"
"You don't have any referrals yet.","Vous n'avez pas encore parrainé d'amis."
"Referral Codes and URL","Codes et url de parrainage et d'affiliation"
"You can use this information to refer other users to this site.  If you've already filled out the form to send a referral you dont have to give them this URL.","Vous pouvez utiliser les informations ci dessous pour parrainer des amis sur ce site. Si vous avez déjà rempli le formulaire de parrainage, vous n'avez pas à leur donner l'url ci dessous."
"Your Referral URL","Votre Url de parrainage"
"Your Referral Code","Votre code de parrainage"
"If you're referral is using your code, they should enter the code at checkout or signup.","Si votre filleul utilise votre code, il devra le saisir lors du passage de commande ou lors de son inscription."
"Your Referral Email","Votre email en tant que parrain"
"If you're referral is using your e-mail, they should enter your e-mail address at checkout or signup.","Si votre filleul utilise votre email, il devra le saisir lors du passage de commande ou lors de son inscription."
"You can choose use either the code or the referral URL,","Vous pouvez choisir d'utiliser le code ci-dessous ou l'url de référence, ou une combinaison des deux."
"Send Invitation Message","Invitez vos amis"
"Friend's name","Le nom de votre ami"
"Friend's email address","Son adresse email"
"Short Message","Message"
"Send","Envoyer"
"Referral Preferences","Mes préférences de parrainage "
"Notify me when I earn points from my referral","Veuillez me notifier lorsque je gagne des points de la part d'un ami."
"Save Preferences","Sauver mes préférences"
"%s is already signed up to the store.","%s est déjà inscrit dans la boutique des Chocolats Weiss."
"Thank you! Your referral e-mail to %s has been sent.","L'email de parrainage a bien été adressé à %s"
"Full Name","Nom"
"Message Sent","Message envoyé "
"Accumulated Earnings","Gains Accumulés"
"Your preferences were saved successfully.","Vos préférences ont été sauvegardées avec succès."
"Signed Up","Inscription"
"You or sombody else has already invited %s.","Cette personne a déjà été invitée à rejoindre notre boutique en ligne."
"%s is your own e-mail address.","Vous ne pouvez pas parrainer votre propre adresse email."
"Referral Information","INFORMATION DE PARRAINAGE"
"Referral E-mail or Code","E-mail ou Code du Parrain"
"Made First Order","Gain sur commande"
"By Percentage of the original price","Remise en % sur le prix original"
"The points you earned are currently pending the completion of your order. You will be able to spend these points after we finish processing your order.", "Les points que vous avez gagnés sont actuellement en attente de validation de votre commande. Vous pourrez dépenser ces pépites après que votre commande soit terminée."
"You earned %s and spent %s for the order you just placed.","Vous avez gagné %s et dépensé %s pour la commande que vous venez de passer."  
"Referral Signup",  "Inscription Filleul"
"Points transferred from CSV file","Transfert de pépites Weissà partir d'un fichier csv."
"The e-mail addres you entered is invalid.","L'adresse e-mail saisie n'est pas une adresse valide. Merci de la vérifier à nouveau."
"You must enter a valid number of points to send your friend.",   "Vous devez saisir un nombre de pépites pour effectuer le virement à votre ami."
"You must enter a friend's email address to send them points!","Vous devez entrer une adresse e-mail pour effectuer un virement de pépites."
"Give shopping cart distribution points based on subtotal after discount","Don de pépites dans le panier basé sur le total après remise."
"Free shipping when spending points","Livraison gratuite lorsque des pépites sont utilisés."
"Customer points balance near top page links", "Affichage solde pépites dans les liens du haut de page"
"Product earned/spent section into product info pages", "Affichage de la section pépites gagnés /dépensés dans les pages d'informations produits"
"Catalog product listing"," Affichage dans le listing du catalogue produit"
"Points earned for writing a review in the product info pages","Pépites gagnés pour écrire un commentaire sur la fiche produit"
"Points earned for writing a review in the review listing pages","Pépites gagnés pour écrire dans les pages de commentaires"
"Points earned for tagging a product in the product info pages","Pépites gagnés pour ajouter un tag à un produit"
"Shopping cart spending rules interface in shopping cart","Interface régle de dépense pépites dans panier"
"Points account summary in the customer dashboard","Solde pépites dans le tableau de bord"
"Onepage checkout customer sign-up section","Section Connexion Onepage Checkout"
"Customer sign-up page","Page de création de compte"
"After Birthday","Après anniversaire"
"Referral First Order","Première commande Filleul"
"Referral Order", "Commandes Filleuls"
"Facebook Like", "J'aime Facebook"
"Points earned because a referral signed up","Pépites gagnées sur l'inscription d'un Filleul"
"Points earned because a referral made his/her first order ", "Pépites gagnées sur la première commande d'un filleul"
"Points earned as a percentage of a referral's order ","Pépites gagnées comme pourcentage de la première commande d'un filleul"
"Invitation E-mail template ", "Modèle d'Email pour invitation  "  
"Send referral invitation e-mails with the sender's email","Envoyer les emails d'invitation avec l'email du parrain"
"Notification E-mail Template","Modèle d'email de notification"
"Display short affiliate code","Affichage du code d'affiliation"
"Affiliate Redirect Path","Afficher le chemin de redirection" 
"Facebook Rewards Settings","Paramètres de Fidélité facebook"
"Maximum Like Rewards Per Day","Nombre Maximum de Like par jour"
"Minimum Time Between Likes", "Temps minimum entre les j'aime"
"The shipment has been created.","L'expédition a été créee."
"Your points balance will expire in %s days.","Votre solde de pépites sera remis à zero dans %s jours."
"All Points Transfers","Virements de pépites"
"Catalog Points Earning Rules","Régles de gains pépites sur catalogue produit"
"Shopping Cart Points Earning Rules","Régles de Gains de Pépites sur Panier"
"Updating Points Information...","Mis à Jour des Totaux..."
"Updating Total...","Mis à jour en cours..."
"Add new cart spending rule","ajouter une nouvelle régle de dépense sur panier")
"Customer redeems the following points","Le client utilise ses pépites"
"Customer Spends","Client utilise"
"Maximum Redeemable Points","Nombre maximum de pépites à utiliser"
"Discount Style","Style de remise"
"Customer Referrals","Filleuls des Clients"
"Affiliate customer ID","Id client affilié"
"Referral Link ID", "Id Lien Parrainage"
"Affiliate Name","Nom De l'Affilié"
"Referral Customer ID", "ID Parrain"
"Referral Name","Nom du Parrain"
"Referral Email","Email du Parrain"
"Visit My Points & Rewards Section","Consulter le solde de pépites fidélité"
"Referrals that access this URL are connected as referrals once they signup or place an order.","Les contacts qui utilisent cet url seront reliés à votre compte en tant que Filleul lors de la création d'un compte ou d'une commande."
"Referrals should enter the code at checkout or signup.","Ce code doit être saisi par le contact lors de la création du compte ou de la commande."
"Referrals can enter your e-mail address at checkout or signup.","Le contact peut aussi saisir l'adresse email ci-dessus lors de la création du compte ou de la commande."
"SEND INVITATIONS","Envoyer une invitation"
"Import contacts","Importer les contacts"
"Send invitation(s)","Envoyer les invitations"
"Referrals","Vos contacts parrainés"
"PLEASE ENTER A VALID CONTACT IN FORMAT: "NAME" <EMAIL@ADDRESS.COM>","Les emails saisis ne sont pas valides. Ils doivent respecter le format "NOM" EMAIL@ADRESSE.FR"
"Send Invitation Message","Invitez vos amis"
"Send Invitations","Inviter ses contacts"
"Example contact list:","Exemple de liste de contacts"
"To reduce the chance that your message is marked as spam, please follow this format:","Pour que votre message ne soit pas considéré comme un spam, merci de respecter le format suivant :"
"fullname","Nom complet"
"contact name","Nom contact"
"email@test.fr","email@test.fr"
"my@friend.com","mon@ami.fr"
"email@address.com","email@adresse.fr"
"another@friend.com","unautre@ami.com"
"Subject (Optional)","Sujet (optionnel)"
"Message (Optional)","Message (optionnel)"
"Send Invitation(s)","Envoyer les invitations"
"Subject","Sujet"
"Short Message","Message"
"You've reached referral link sharing rewards limit for today (%s). You can still send invitations, though.","Vous ne pouvez plus inviter de contacts pour aujourd'hui."
"IF YOU ARE A REGISTERED VAT CUSTOMER, PLEASE CLICK HERE TO ENTER YOU BILLING ADDRESS FOR PROPER VAT CALCULATION","Cliquez ici pour renseigner votre adresse de livraison"
